Track Name,Artist,Density,Multi,Signatures,Syll.
Too Comfortable,Future,60.6,14.5,119,822
Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Future,65.2,13.5,91,673
Die For Me (feat. Future & Halsey),Future,77.0,14.5,68,469
Giving Chanel,Future,59.3,19.8,100,504
Hard To Choose One,Future,67.6,14.0,132,945
Codeine Crazy,Future,65.4,12.3,163,1321
I Serve the Base,Future,60.6,17.7,118,665
X (feat. Future),Future,70.7,16.8,105,624
Drankin N Smokin,Future,66.8,17.2,97,563
Jumpman,Future,53.5,23.5,81,344
BROAD DAY (feat. Future),Future,47.6,33.7,70,208
Keep It Low (feat. Future),Future,64.1,21.1,83,393
Lock On Me (with Travis Scott & Future),Future,56.5,26.4,96,363
Sprinter,Dave,60.9,20.1,125,622
Location (feat. Burna Boy),Dave,46.2,31.5,109,346
Meridian,Dave,52.5,17.5,107,612
Incredible Sauce (feat. Dave),Dave,60.2,18.6,78,420
Starlight,Dave,65.2,18.7,134,716
UK Rap,Dave,60.3,20.3,93,459
Titanium,Dave,56.8,22.8,108,474
Cheat On Me (feat. Dave),Dave,47.6,28.6,53,185
Stop Giving Me Advice (with Jack Harlow & Dave),Dave,54.0,22.8,130,570
Trojan Horse,Dave,57.7,21.7,150,691
INTOXYCATED (feat. Dave),Dave,44.0,34.3,85,248
Verdansk,Dave,15.2,56.5,26,46
Special,Dave,52.4,22.0,136,617
Thiago Silva,Dave,64.2,20.6,124,601
Screwface Capital,Dave,58.3,20.7,164,794
Law Of Attraction (feat. Snoh Aalegra),Dave,60.6,25.9,94,363
Professor X,Dave,63.4,17.0,144,849
Funky Friday,Dave,61.1,22.2,85,383
Propeller (feat. Dave & BNXN),Dave,49.3,28.5,81,284
Clash (feat. Stormzy),Dave,62.6,16.2,90,554
Streatham,Dave,60.8,20.2,132,653
Our 25th Birthday,Dave,55.1,22.6,136,601
Samantha,Dave,61.2,24.7,95,384
System (feat. WizKid),Dave,48.8,31.5,91,289
No Words,Dave,67.0,15.0,48,321
Psycho,Dave,62.1,17.0,176,1038
Venting,Dave,40.2,43.5,40,92
Twenty To One,Dave,65.7,15.3,112,731
Hangman,Dave,57.0,20.7,162,783
Disaster (feat. J Hus),Dave,55.0,23.8,133,560
Wanna Know Remix (feat. Drake),Dave,69.9,15.9,55,345
Lazarus (feat. Boj),Dave,47.2,28.5,113,396
Money Talks (feat. Dave),Dave,64.8,22.3,92,412
Environment,Dave,55.6,20.3,159,782
Tequila,Dave,62.4,14.1,92,654
